data,model,val_accuracy
atis_50_subset,svm_tfidf,0.8714
atis_50_subset,svm_glove,0.7444
atis_50_subset,lstm_glove,0.8353
atis_50_subset,bert_ktrain,0.9468
atis_5_subset,svm_tfidf,0.5798
atis_5_subset,svm_glove,0.5832
atis_5_subset,lstm_glove,0.6055
atis_5_subset,bert_ktrain,0.3002
atis_10_subset,svm_tfidf,0.5523
atis_10_subset,svm_glove,0.5249
atis_10_subset,lstm_glove,0.6226
atis_10_subset,bert_ktrain,0.8439
atis_100_subset,svm_tfidf,0.9022
atis_100_subset,svm_glove,0.837
atis_100_subset,lstm_glove,0.9451
atis_100_subset,bert_ktrain,0.964
atis_20_subset,svm_tfidf,0.7581
atis_20_subset,svm_glove,0.7341
atis_20_subset,lstm_glove,0.777
atis_20_subset,bert_ktrain,0.9125
trec_100_subset,svm_tfidf,0.8094
trec_100_subset,svm_glove,0.6382
trec_100_subset,lstm_glove,0.8125
trec_100_subset,bert_ktrain,0.9317
trec_20_subset,svm_tfidf,0.6251
trec_20_subset,svm_glove,0.4683
trec_20_subset,lstm_glove,0.6044
trec_20_subset,bert_ktrain,0.7799
trec_10_subset,svm_tfidf,0.5235
trec_10_subset,svm_glove,0.4044
trec_10_subset,lstm_glove,0.5129
trec_10_subset,bert_ktrain,0.6238
trec_50_subset,svm_tfidf,0.7235
trec_50_subset,svm_glove,0.5655
trec_50_subset,lstm_glove,0.7103
trec_50_subset,bert_ktrain,0.8865
trec_5_subset,svm_tfidf,0.4169
trec_5_subset,svm_glove,0.3022
trec_5_subset,lstm_glove,0.3956
trec_5_subset,bert_ktrain,0.2803
